status	key	command
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Precomposition	Ctrl Shift `	ToggleAlphanumericMode
Precomposition	RightShift	ToggleManyoshuHiragana
Precomposition	RightAlt ¨	SetMacronDeadKey
Precomposition	RightAlt ^	SetMacronDeadKey
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	F10	ToggleAlphanumericMode
Precomposition	Hankaku/Zenkaku	CancelAndIMEOff
Precomposition	Henkan	CancelAndIMEOff
Precomposition	Kana	ToggleAlphanumericMode
Precomposition	Kanji	CancelAndIMEOff
Precomposition	Muhenkan	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
Precomposition	Shift Henkan	Reconvert
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Space	InsertAlternateSpace
Precomposition	Space	InsertSpace
Precomposition	Ctrl Shift )	LaunchWordRegisterDialog
Prediction	Ctrl Down	ConvertNext
Prediction	Ctrl Up	ConvertPrev
Prediction	Down	ConvertNext
Prediction	Up	ConvertPrev
Prediction	Ctrl Delete	DeleteSelectedCandidate
Prediction	Ctrl Shift )	LaunchWordRegisterDialog
Suggestion	Ctrl Down	PredictAndConvert
Suggestion	Ctrl Enter	CommitFirstSuggestion
Suggestion	Down	PredictAndConvert
Suggestion	Shift Enter	CommitFirstSuggestion
